MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.4559949976551508,0.7218380548739683,0.5714285714285713,40,squared_error,3,2.75,10
0.3304674065968422,0.9020745036805712,0.5714285714285713,190,squared_error,18,4.25,6
0.5746443645458807,0.5181797903189829,0.2857142857142856,130,squared_error,1,0.75,15
0.3290604971080194,0.9018514387686816,0.5714285714285713,170,squared_error,17,4.25,13
0.9541972799749882,0.8245594467990186,0.0,180,absolute_error,17,6.75,14
0.3274972643426606,0.9017399063127368,0.5714285714285713,200,squared_error,19,4.25,1
0.5360325152415194,0.6355119339727862,0.5714285714285713,130,squared_error,3,2.5,17
0.3723620447084571,0.8503234441222396,0.7142857142857143,30,poisson,6,9.25,10
0.9599812412068156,0.8243363818871291,0.0,190,absolute_error,8,8.25,2
0.3274972643426606,0.8176444345304484,0.5714285714285713,90,squared_error,8,5.5,4
0.335782397999062,0.8944902966763328,0.5714285714285713,80,squared_error,13,6.0,17
0.6359230889479442,0.3456390809725631,0.0,10,poisson,1,5.5,9
0.3559481006721901,0.8293553424046398,0.7142857142857143,190,squared_error,9,3.5,5
0.4491167734875723,0.4906312737006469,0.4285714285714285,40,squared_error,1,0.25,19
0.4636548382054088,0.7976801249163507,0.5714285714285713,120,poisson,5,6.5,10
0.4345787087697358,0.7561900513049298,0.4285714285714285,150,poisson,2,6.25,9
0.3512584023761138,0.8972786080749499,0.5714285714285713,180,poisson,19,0.5,6
0.4539627950601844,0.8950479589560563,0.5714285714285713,190,squared_error,10,3.75,2
0.6221666406127873,0.4618559000669195,0.5714285714285713,160,squared_error,1,4.5,8
0.3881506956385805,0.9020745036805712,0.5714285714285713,180,poisson,10,1.25,10
0.9546662498045958,0.8245594467990186,0.0,40,absolute_error,5,9.5,16
0.6654681882132248,0.4775819763551193,0.4285714285714285,190,poisson,1,2.75,14
0.4070658120994215,0.839058666071827,0.7142857142857143,200,squared_error,9,5.0,5
0.5249335626074723,0.8293553424046398,0.4285714285714285,140,poisson,5,6.0,3
0.3767390964514616,0.9074280615659156,0.5714285714285713,60,squared_error,20,6.0,3
0.3387525402532437,0.8497657818425162,0.5714285714285713,100,poisson,6,3.5,2
0.964514616226356,0.8242248494311846,0.0,110,absolute_error,12,3.5,11
0.325777708300766,0.9015168414008476,0.5714285714285713,60,squared_error,17,1.5,18
0.7047053306237299,0.9145661387463752,0.2857142857142856,120,absolute_error,2,2.5,11
0.9601375644833514,0.8243363818871291,0.0,170,absolute_error,13,8.0,18
0.38627481632015,0.9059781396386348,0.5714285714285713,30,squared_error,11,6.75,1
0.710801938408629,0.6296007138077181,0.2857142857142856,10,squared_error,1,6.75,5
0.32562138502423,0.893374972116886,0.5714285714285713,150,squared_error,12,1.5,1
0.3260903548538377,0.893374972116886,0.5714285714285713,20,squared_error,16,2.25,3
0.4728779115210255,0.687820655810841,0.5714285714285713,50,squared_error,4,4.5,7
0.3517273722057214,0.9046397501672988,0.5714285714285713,150,squared_error,14,5.5,18
0.6437392527747381,0.4880660272139193,0.5714285714285713,120,squared_error,1,4.75,3
0.9717054869470064,0.8238902520633505,0.0,140,absolute_error,8,6.25,14
0.3296857902141629,0.9019629712246264,0.5714285714285713,80,squared_error,16,9.25,20
0.7367516023135845,0.9638634842739238,0.4285714285714285,160,absolute_error,1,7.0,9
0.9449742066593714,0.8250055766227973,0.0,50,absolute_error,9,2.0,5
0.809441925902767,0.8847869730091457,0.1428571428571428,110,absolute_error,4,2.5,18
0.333281225574488,0.9024091010484052,0.5714285714285713,70,poisson,16,4.5,14
0.3381272471471002,0.9000669194735669,0.5714285714285713,180,poisson,12,1.25,11
0.9732687197123652,0.8237787196074058,0.0,10,absolute_error,5,8.5,19
0.3439112083789276,0.8983939326343966,0.5714285714285713,30,squared_error,20,3.75,19
0.5036735969985932,0.7232879768012491,0.4285714285714285,100,squared_error,6,3.75,1
0.9598249179302796,0.8243363818871291,0.0,100,absolute_error,13,3.25,13
0.3745505705799593,0.9072049966540264,0.5714285714285713,100,poisson,16,4.75,11
0.2762232296388932,0.8786526879321883,0.7142857142857143,20,squared_error,16,7.0,10
0.3528216351414725,0.8963863484273925,0.5714285714285713,180,poisson,18,8.75,3
0.3289041738314834,0.9018514387686816,0.5714285714285713,120,poisson,18,2.75,2
0.3293731436610911,0.9006245817532902,0.5714285714285713,170,poisson,14,10.0,2
0.959512271377208,0.8243363818871291,0.0,60,absolute_error,17,9.0,5
0.3818977645771454,0.9350881106401964,0.5714285714285713,10,poisson,11,3.75,2
0.9577927153353134,0.8244479143430739,0.0,140,absolute_error,17,1.75,13
0.9679537283101451,0.8240017845192951,0.0,70,absolute_error,18,4.0,7
0.3328122557448804,0.903189828240018,0.5714285714285713,90,poisson,10,2.0,7
0.4181647647334687,0.7066696408654919,0.4285714285714285,120,squared_error,3,2.0,1
0.3503204627168986,0.8960517510595584,0.5714285714285713,140,squared_error,15,0.25,15
0.3492261997811474,0.8976132054427839,0.5714285714285713,170,poisson,18,3.0,1
